stop_id,tract_id
1724,1400000US17031020702
1725,1400000US17031020702
1726,1400000US17031020802
1728,1400000US17031020802
1729,1400000US17031020802
1730,1400000US17031020901
1732,1400000US17031020901
1736,1400000US17031030300
1739,1400000US17031030200
1740,1400000US17031030200
1741,1400000US17031030200
1743,1400000US17031030200
1744,1400000US17031030200
1746,1400000US17031010502
1747,1400000US17031010502
1748,1400000US17031010600
1749,1400000US17031010600
1750,1400000US17031010600
1752,1400000US17031010600
1753,1400000US17031010600
1754,1400000US17031010501
1755,1400000US17031010501
1756,1400000US17031010501
1757,1400000US17031010503
1758,1400000US17031010503
1760,1400000US17031010503
1761,1400000US17031010600
1762,1400000US17031830600
1764,1400000US17031830600
1768,1400000US17031020500
1770,1400000US17031020500
1771,1400000US17031020500
1772,1400000US17031020602
1774,1400000US17031020602
1776,1400000US17031020601
1778,1400000US17031020601
1779,1400000US17031020702
1784,1400000US17031010702
1785,1400000US17031010702
1786,1400000US17031010702
1790,1400000US17031830600
1791,1400000US17031830600
1792,1400000US17031830600
1793,1400000US17031030300
1794,1400000US17031030300
1799,1400000US17031030400
1802,1400000US17031030400
1803,1400000US17031030900
1805,1400000US17031030900
1806,1400000US17031030900
1811,1400000US17031031800
1813,1400000US17031031900
1814,1400000US17031031900
1815,1400000US17031060100
1819,1400000US17031060500
1820,1400000US17031060500
1822,1400000US17031061100
1823,1400000US17031061100
1824,1400000US17031832000
1826,1400000US17031062100
1827,1400000US17031062100
1828,1400000US17031062100
1830,1400000US17031063100
1834,1400000US17031070200
1836,1400000US17031070200
1837,1400000US17031070103
1838,1400000US17031070103
1839,1400000US17031071300
1840,1400000US17031071400
1841,1400000US17031071400
1843,1400000US17031071500
1845,1400000US17031071500
1846,1400000US17031071500
1847,1400000US17031080201
1848,1400000US17031080201
1849,1400000US17031080202
1850,1400000US17031080202
1851,1400000US17031081000
1852,1400000US17031081000
1853,1400000US17031081000
1854,1400000US17031081000
1855,1400000US17031081000
1856,1400000US17031081000
1859,1400000US17031081700
1861,1400000US17031081700
1865,1400000US17031839100
1869,1400000US17031839100
1871,1400000US17031839100
1873,1400000US17031839100
1875,1400000US17031839000
1876,1400000US17031839100
1877,1400000US17031839100
1880,1400000US17031839100
1881,1400000US17031839100
1882,1400000US17031839100
1884,1400000US17031839100
1885,1400000US17031839100
1887,1400000US17031081600
1891,1400000US17031081600
1892,1400000US17031081600
1893,1400000US17031081600
1895,1400000US17031081100
1897,1400000US17031081000
1898,1400000US17031081000
1899,1400000US17031081000
1900,1400000US17031080202
